drug_1,drug_2,severity
enterogermina,escitalopram,1
ibuprofen,apixaban,1
edoxaban,probiotic,1
vitamin c,omeprazole,1
edoxaban,erythromycin,1
alprazolam,edoxaban,1
pravastatin,escitalopram,1
dabigatran,clarithromycin,1
alprazolam,amiodarone,3
diclofenac,dabigatran,1
warfarin,atorvastatin,1
pantoprazole,naproxen,1
erythromycin,erythromycin,1
omeprazole,codeine,1
enterogermina,amiodarone,1
diazepam,acetaminophen,1
vitamin c,pantoprazole,1
sertraline,clarithromycin,1
apixaban,dabigatran,1
escitalopram,ibuprofen,2
diazepam,fluoxetine,2
dexketoprofen,sertraline,2
lorazepam,esomeprazole,1
naproxen,folic acid,1
rosuvastatin,escitalopram,1
vitamin c,escitalopram,1
clarithromycin,simvastatin,3
erythromycin,vitamin d,1
azithromycin,naproxen,1
lorazepam,erythromycin,1
enterogermina,ibuprofen,1
simvastatin,clarithromycin,3
pantoprazole,alprazolam,1
dexketoprofen,pantoprazole,1
rivaroxaban,clarithromycin,1
erythromycin,fluoxetine,1
probiotic,tramadol,1
ibuprofen,sertraline,2
atorvastatin,pravastatin,1
probiotic,morphine,1
lorazepam,apixaban,1
atorvastatin,sertraline,1
vitamin d,codeine,1
pantoprazole,erythromycin,1
fluoxetine,acetaminophen,1
vitamin d,enterogermina,1
pantoprazole,pravastatin,2
azithromycin,warfarin,3
alprazolam,apixaban,1
clarithromycin,acetaminophen,1
rosuvastatin,sertraline,1
sertraline,esomeprazole,1
alprazolam,warfarin,1
escitalopram,folic acid,1
esomeprazole,ibuprofen,1
acetaminophen,diclofenac,1
sertraline,escitalopram,1
naproxen,sertraline,2
b12,fluoxetine,1
enterogermina,clarithromycin,1
azithromycin,codeine,1
apixaban,ibuprofen,1
sertraline,probiotic,1
fluoxetine,dexketoprofen,2
paroxetine,atorvastatin,1
simvastatin,lorazepam,1
ketoprofen,erythromycin,1
vitamin c,azithromycin,1
oxycodone,b12,1
apixaban,acetaminophen,1
morphine,simvastatin,1
erythromycin,esomeprazole,1
edoxaban,rivaroxaban,1
oxycodone,alprazolam,3
erythromycin,ibuprofen,1
diclofenac,probiotic,1
naproxen,paracetamol,1
acetaminophen,alprazolam,1
dabigatran,warfarin,1
erythromycin,morphine,1
dabigatran,fluoxetine,1
erythromycin,erythromycin,1
codeine,folic acid,1
sertraline,azithromycin,1
clonazepam,fluoxetine,2
acetaminophen,simvastatin,1
fluoxetine,azithromycin,1
vitamin c,pravastatin,1
naproxen,vitamin c,1
clarithromycin,atorvastatin,3
enterogermina,vitamin c,1
ketoprofen,acetaminophen,1
fluoxetine,acetaminophen,1
erythromycin,morphine,1
escitalopram,dexketoprofen,2
pantoprazole,alprazolam,1
clarithromycin,paracetamol,1
azithromycin,vitamin c,1
diazepam,apixaban,1
sertraline,vitamin d,1
paroxetine,erythromycin,1
diclofenac,edoxaban,1
amiodarone,naproxen,1
ibuprofen,b12,1
amiodarone,clarithromycin,3
acetaminophen,apixaban,1
warfarin,apixaban,1
pravastatin,acetaminophen,1
oxycodone,dexketoprofen,1
naproxen,rivaroxaban,1
pravastatin,paroxetine,1
fluoxetine,paracetamol,1
ibuprofen,pravastatin,1
simvastatin,vitamin c,1
apixaban,dexketoprofen,1
paroxetine,edoxaban,1
dabigatran,oxycodone,1
escitalopram,edoxaban,1
apixaban,omeprazole,1
paroxetine,diazepam,2
atorvastatin,lorazepam,1
clonazepam,tramadol,3
clarithromycin,tramadol,1
edoxaban,esomeprazole,1
acetaminophen,dexketoprofen,1
diazepam,edoxaban,1
azithromycin,pantoprazole,1
sertraline,dabigatran,1
esomeprazole,vitamin d,1
codeine,clonazepam,3
fluoxetine,b12,1
diazepam,warfarin,1
paracetamol,diazepam,1
erythromycin,clarithromycin,3
sertraline,ketoprofen,2
ibuprofen,paroxetine,2
codeine,vitamin d,1
apixaban,lorazepam,1
atorvastatin,enterogermina,1
acetaminophen,escitalopram,1
clarithromycin,pravastatin,3
ibuprofen,sertraline,2
apixaban,vitamin d,1
pantoprazole,atorvastatin,2
folic acid,edoxaban,1
simvastatin,diazepam,1
omeprazole,azithromycin,1
paroxetine,simvastatin,1
enterogermina,vitamin c,1
diazepam,tramadol,3
esomeprazole,apixaban,1
sertraline,fluoxetine,1
naproxen,sertraline,2
ibuprofen,simvastatin,1
lorazepam,clarithromycin,1
tramadol,erythromycin,1
paroxetine,rosuvastatin,1
probiotic,amiodarone,1
apixaban,escitalopram,1
esomeprazole,pantoprazole,1
diazepam,naproxen,1
probiotic,diclofenac,1
paroxetine,folic acid,1
enterogermina,apixaban,1
sertraline,pravastatin,1
paracetamol,rosuvastatin,1
dexketoprofen,tramadol,1
esomeprazole,alprazolam,1
vitamin d,clonazepam,1
pantoprazole,vitamin d,1
erythromycin,atorvastatin,3
codeine,amiodarone,1
omeprazole,paracetamol,1
escitalopram,folic acid,1
apixaban,omeprazole,1
codeine,acetaminophen,1
azithromycin,warfarin,3
clarithromycin,simvastatin,3
ibuprofen,escitalopram,2
azithromycin,probiotic,1
codeine,azithromycin,1
omeprazole,pantoprazole,1
clarithromycin,acetaminophen,1
clarithromycin,diazepam,1
enterogermina,fluoxetine,1
rivaroxaban,azithromycin,1
clarithromycin,vitamin d,1
naproxen,alprazolam,1
diazepam,escitalopram,2
simvastatin,tramadol,1
apixaban,dabigatran,1
clonazepam,dexketoprofen,1
amiodarone,morphine,1
clonazepam,erythromycin,1
vitamin c,lorazepam,1
apixaban,enterogermina,1
clarithromycin,tramadol,1
tramadol,escitalopram,2
escitalopram,morphine,2
erythromycin,pantoprazole,1
pantoprazole,alprazolam,1
sertraline,alprazolam,2
enterogermina,paroxetine,1
edoxaban,folic acid,1
fluoxetine,lorazepam,2
probiotic,oxycodone,1
vitamin c,escitalopram,1
sertraline,simvastatin,1
ketoprofen,escitalopram,2
erythromycin,rosuvastatin,3
enterogermina,pantoprazole,1
acetaminophen,rosuvastatin,1
folic acid,naproxen,1
dabigatran,escitalopram,1
alprazolam,amiodarone,3
acetaminophen,sertraline,1
atorvastatin,pantoprazole,2
sertraline,edoxaban,1
lorazepam,rosuvastatin,1
paroxetine,pravastatin,1
simvastatin,apixaban,1
paracetamol,folic acid,1
oxycodone,edoxaban,1
dexketoprofen,probiotic,1
vitamin c,erythromycin,1
paroxetine,probiotic,1
atorvastatin,pantoprazole,2
pantoprazole,clonazepam,1
alprazolam,clarithromycin,1
acetaminophen,tramadol,1
tramadol,codeine,1
amiodarone,naproxen,1
escitalopram,azithromycin,1
ibuprofen,diazepam,1
naproxen,rosuvastatin,1
erythromycin,b12,1
apixaban,esomeprazole,1
diazepam,amiodarone,3
esomeprazole,erythromycin,1
diazepam,atorvastatin,1
dexketoprofen,vitamin d,1
diclofenac,sertraline,2
folic acid,erythromycin,1
rivaroxaban,vitamin c,1
clarithromycin,paroxetine,1
clonazepam,dexketoprofen,1
vitamin d,clarithromycin,1
erythromycin,diazepam,1
erythromycin,paroxetine,1
diclofenac,clonazepam,1
vitamin d,rivaroxaban,1
naproxen,edoxaban,1
folic acid,ketoprofen,1
esomeprazole,warfarin,1
escitalopram,ibuprofen,2
folic acid,clonazepam,1
erythromycin,edoxaban,1
vitamin c,clonazepam,1
rosuvastatin,b12,1
sertraline,paracetamol,1
omeprazole,simvastatin,2
clarithromycin,dabigatran,1
tramadol,alprazolam,3
esomeprazole,clonazepam,1
morphine,edoxaban,1
atorvastatin,pravastatin,1
vitamin d,sertraline,1
dexketoprofen,codeine,1
folic acid,clonazepam,1
fluoxetine,clarithromycin,1
pravastatin,clarithromycin,3
paracetamol,vitamin c,1
escitalopram,rosuvastatin,1
dexketoprofen,clarithromycin,1
ketoprofen,enterogermina,1
ketoprofen,pantoprazole,1
codeine,pravastatin,1
erythromycin,paroxetine,1
diazepam,codeine,3
rivaroxaban,acetaminophen,1
naproxen,vitamin c,1
amiodarone,oxycodone,1
alprazolam,tramadol,3
vitamin c,warfarin,1
rosuvastatin,clarithromycin,3
ketoprofen,enterogermina,1
azithromycin,folic acid,1
lorazepam,rosuvastatin,1
ketoprofen,b12,1
acetaminophen,clarithromycin,1
naproxen,pravastatin,1
codeine,paracetamol,1
pravastatin,clarithromycin,3
esomeprazole,pravastatin,2
pravastatin,oxycodone,1
vitamin c,pantoprazole,1
dexketoprofen,vitamin c,1
erythromycin,atorvastatin,3
clarithromycin,paroxetine,1
simvastatin,erythromycin,3
clarithromycin,paroxetine,1
folic acid,vitamin d,1
clarithromycin,paracetamol,1
apixaban,diclofenac,1
omeprazole,ketoprofen,1
apixaban,fluoxetine,1
morphine,lorazepam,3
folic acid,diazepam,1
vitamin c,codeine,1
paroxetine,amiodarone,3
vitamin c,warfarin,1
azithromycin,atorvastatin,3
paracetamol,vitamin d,1
simvastatin,paracetamol,1
warfarin,probiotic,1
lorazepam,sertraline,2
pravastatin,erythromycin,3
codeine,morphine,1
morphine,clonazepam,3
b12,diclofenac,1
dexketoprofen,clarithromycin,1
codeine,ibuprofen,1
simvastatin,edoxaban,1
clarithromycin,omeprazole,1
rosuvastatin,acetaminophen,1
esomeprazole,pantoprazole,1
edoxaban,probiotic,1
ketoprofen,b12,1
paracetamol,naproxen,1
diazepam,oxycodone,3
dexketoprofen,morphine,1
warfarin,tramadol,1
codeine,esomeprazole,1
sertraline,erythromycin,1
dexketoprofen,paroxetine,2
escitalopram,clonazepam,2
clarithromycin,folic acid,1
paracetamol,edoxaban,1
clarithromycin,sertraline,1
morphine,warfarin,1
rivaroxaban,ibuprofen,1
diazepam,escitalopram,2
diclofenac,pantoprazole,1
diclofenac,vitamin d,1
naproxen,probiotic,1
atorvastatin,dabigatran,1
atorvastatin,pravastatin,1
omeprazole,fluoxetine,1
morphine,atorvastatin,1
fluoxetine,azithromycin,1
ibuprofen,atorvastatin,1
rivaroxaban,dabigatran,1
erythromycin,paracetamol,1
dexketoprofen,edoxaban,1
escitalopram,azithromycin,1
dexketoprofen,simvastatin,1
vitamin c,fluoxetine,1
pantoprazole,edoxaban,1
ibuprofen,pravastatin,1
fluoxetine,azithromycin,1
diazepam,clarithromycin,1
folic acid,vitamin d,1
pantoprazole,vitamin d,1
clarithromycin,probiotic,1
warfarin,esomeprazole,1
clonazepam,paroxetine,2
probiotic,tramadol,1
pravastatin,azithromycin,3
dabigatran,amiodarone,1
naproxen,paracetamol,1
rivaroxaban,omeprazole,1
lorazepam,probiotic,1
edoxaban,pantoprazole,1
morphine,esomeprazole,1
clarithromycin,lorazepam,1
b12,naproxen,1
ibuprofen,escitalopram,2
paracetamol,azithromycin,1
dabigatran,fluoxetine,1
esomeprazole,diclofenac,1
alprazolam,acetaminophen,1
dabigatran,folic acid,1
apixaban,morphine,1
rivaroxaban,rosuvastatin,1
omeprazole,clarithromycin,1
lorazepam,naproxen,1
morphine,dabigatran,1
probiotic,vitamin c,1
clonazepam,morphine,3
ibuprofen,alprazolam,1
diazepam,enterogermina,1
naproxen,erythromycin,1
apixaban,dexketoprofen,1
omeprazole,warfarin,1
rivaroxaban,diazepam,1
warfarin,codeine,1
clarithromycin,azithromycin,1
pantoprazole,rivaroxaban,1
escitalopram,edoxaban,1
erythromycin,diclofenac,1
enterogermina,esomeprazole,1
folic acid,alprazolam,1
edoxaban,ketoprofen,1
lorazepam,atorvastatin,1
escitalopram,ketoprofen,2
apixaban,morphine,1
warfarin,rivaroxaban,1
edoxaban,rosuvastatin,1
pantoprazole,vitamin c,1
alprazolam,clarithromycin,1
pravastatin,enterogermina,1
simvastatin,pantoprazole,2
diclofenac,clonazepam,1
warfarin,folic acid,1
rosuvastatin,diazepam,1
dabigatran,morphine,1
paracetamol,pantoprazole,1
simvastatin,paracetamol,1
fluoxetine,diazepam,2
dexketoprofen,clonazepam,1
diclofenac,clonazepam,1
vitamin c,naproxen,1
oxycodone,codeine,1
acetaminophen,diclofenac,1
simvastatin,enterogermina,1
vitamin d,acetaminophen,1
tramadol,diazepam,3
erythromycin,simvastatin,3
sertraline,amiodarone,3
rivaroxaban,azithromycin,1
clarithromycin,fluoxetine,1
edoxaban,escitalopram,1
rosuvastatin,oxycodone,1
pantoprazole,probiotic,1
sertraline,lorazepam,2
diazepam,dexketoprofen,1
ibuprofen,dabigatran,1
morphine,paroxetine,2
omeprazole,escitalopram,1
b12,codeine,1
esomeprazole,codeine,1
omeprazole,probiotic,1
enterogermina,naproxen,1
b12,atorvastatin,1
pravastatin,oxycodone,1
lorazepam,b12,1
paroxetine,atorvastatin,1
pantoprazole,alprazolam,1
morphine,pantoprazole,1
edoxaban,dabigatran,1
escitalopram,edoxaban,1
dabigatran,erythromycin,1
clonazepam,vitamin d,1
folic acid,acetaminophen,1
b12,clarithromycin,1
edoxaban,paracetamol,1
atorvastatin,tramadol,1
escitalopram,esomeprazole,1
esomeprazole,oxycodone,1
pantoprazole,probiotic,1
naproxen,alprazolam,1
pantoprazole,b12,1
paracetamol,alprazolam,1
paracetamol,diclofenac,1
pantoprazole,atorvastatin,2
morphine,paroxetine,2
lorazepam,paracetamol,1
b12,amiodarone,1
probiotic,clarithromycin,1
omeprazole,morphine,1
atorvastatin,tramadol,1
codeine,pantoprazole,1
rivaroxaban,tramadol,1
edoxaban,oxycodone,1
lorazepam,b12,1
vitamin c,azithromycin,1
vitamin c,apixaban,1
pravastatin,omeprazole,2
pantoprazole,edoxaban,1
fluoxetine,alprazolam,2
pravastatin,atorvastatin,1
alprazolam,pravastatin,1
fluoxetine,lorazepam,2
atorvastatin,pantoprazole,2
oxycodone,morphine,1
clonazepam,diazepam,1
erythromycin,ibuprofen,1
codeine,edoxaban,1
sertraline,edoxaban,1
apixaban,warfarin,1
vitamin c,azithromycin,1
simvastatin,diclofenac,1
ketoprofen,paracetamol,1
erythromycin,probiotic,1
lorazepam,acetaminophen,1
dexketoprofen,escitalopram,2
amiodarone,diclofenac,1
azithromycin,dexketoprofen,1
enterogermina,dabigatran,1
clarithromycin,diazepam,1
probiotic,pravastatin,1
diazepam,omeprazole,1
rivaroxaban,simvastatin,1
diclofenac,naproxen,1
erythromycin,ibuprofen,1
lorazepam,apixaban,1
morphine,warfarin,1
paracetamol,atorvastatin,1
oxycodone,vitamin c,1
oxycodone,b12,1
folic acid,escitalopram,1
clarithromycin,ibuprofen,1
apixaban,erythromycin,1
escitalopram,diazepam,2
erythromycin,tramadol,1
probiotic,atorvastatin,1
esomeprazole,lorazepam,1
diclofenac,pantoprazole,1
omeprazole,apixaban,1
paracetamol,vitamin d,1
dexketoprofen,enterogermina,1
clarithromycin,amiodarone,3
sertraline,edoxaban,1
ketoprofen,amiodarone,1
tramadol,amiodarone,1
lorazepam,apixaban,1
pantoprazole,ketoprofen,1
dexketoprofen,edoxaban,1
azithromycin,diclofenac,1
rivaroxaban,probiotic,1
enterogermina,warfarin,1
pantoprazole,escitalopram,1
rosuvastatin,alprazolam,1
pravastatin,dexketoprofen,1
sertraline,atorvastatin,1
lorazepam,paroxetine,2
probiotic,escitalopram,1
diclofenac,folic acid,1
ketoprofen,edoxaban,1
escitalopram,tramadol,2
naproxen,atorvastatin,1
erythromycin,omeprazole,1
clarithromycin,vitamin d,1
ibuprofen,fluoxetine,2
ketoprofen,b12,1
dexketoprofen,fluoxetine,2
rivaroxaban,warfarin,1
dabigatran,folic acid,1
warfarin,lorazepam,1
sertraline,clonazepam,2
apixaban,pantoprazole,1
edoxaban,morphine,1
fluoxetine,dabigatran,1
atorvastatin,apixaban,1
azithromycin,atorvastatin,3
pantoprazole,enterogermina,1
acetaminophen,dabigatran,1
lorazepam,clonazepam,1
amiodarone,rivaroxaban,1
escitalopram,folic acid,1
sertraline,alprazolam,2
fluoxetine,acetaminophen,1
lorazepam,azithromycin,1
acetaminophen,pantoprazole,1
pravastatin,azithromycin,3
diazepam,azithromycin,1
escitalopram,fluoxetine,1
lorazepam,tramadol,3
vitamin c,pravastatin,1
folic acid,b12,1
azithromycin,erythromycin,1
codeine,enterogermina,1
esomeprazole,dabigatran,1
alprazolam,paracetamol,1
erythromycin,simvastatin,3
erythromycin,dexketoprofen,1
omeprazole,edoxaban,1
pravastatin,paracetamol,1
alprazolam,lorazepam,1
paracetamol,edoxaban,1
rivaroxaban,dabigatran,1
ibuprofen,vitamin d,1
lorazepam,diazepam,1
alprazolam,vitamin d,1
vitamin d,clarithromycin,1
clonazepam,folic acid,1
clonazepam,tramadol,3
esomeprazole,paroxetine,1
pantoprazole,escitalopram,1
esomeprazole,rivaroxaban,1
omeprazole,amiodarone,1
erythromycin,edoxaban,1
fluoxetine,tramadol,2
amiodarone,omeprazole,1
diclofenac,apixaban,1
lorazepam,omeprazole,1
enterogermina,ketoprofen,1
clonazepam,diazepam,1
diclofenac,clarithromycin,1
azithromycin,pravastatin,3
dabigatran,amiodarone,1
codeine,dexketoprofen,1
probiotic,paracetamol,1
lorazepam,rosuvastatin,1
clonazepam,erythromycin,1
amiodarone,alprazolam,3
rosuvastatin,probiotic,1
azithromycin,probiotic,1
escitalopram,lorazepam,2
escitalopram,ketoprofen,2
pravastatin,probiotic,1
atorvastatin,erythromycin,3
alprazolam,enterogermina,1
edoxaban,ibuprofen,1
fluoxetine,acetaminophen,1
morphine,erythromycin,1
atorvastatin,diclofenac,1
dabigatran,morphine,1
apixaban,warfarin,1
alprazolam,clarithromycin,1
alprazolam,codeine,3
erythromycin,b12,1
clonazepam,vitamin d,1
escitalopram,ibuprofen,2
azithromycin,pravastatin,3
paroxetine,tramadol,2
probiotic,clonazepam,1
vitamin d,ketoprofen,1
azithromycin,ketoprofen,1
diazepam,simvastatin,1
oxycodone,alprazolam,3
diclofenac,fluoxetine,2
pantoprazole,ketoprofen,1
paroxetine,ibuprofen,2
folic acid,ketoprofen,1
simvastatin,warfarin,1
ibuprofen,folic acid,1
apixaban,pravastatin,1
dabigatran,naproxen,1
folic acid,alprazolam,1
probiotic,pravastatin,1
folic acid,edoxaban,1
clarithromycin,vitamin c,1
erythromycin,pantoprazole,1
diclofenac,paroxetine,2
lorazepam,fluoxetine,2
pravastatin,morphine,1
atorvastatin,ibuprofen,1
rivaroxaban,dexketoprofen,1
dexketoprofen,rivaroxaban,1
pantoprazole,diclofenac,1
escitalopram,probiotic,1
dexketoprofen,oxycodone,1
acetaminophen,pravastatin,1
naproxen,pravastatin,1
codeine,sertraline,2
vitamin d,codeine,1
apixaban,esomeprazole,1
paroxetine,pantoprazole,1
erythromycin,paracetamol,1
tramadol,pravastatin,1
azithromycin,codeine,1
oxycodone,acetaminophen,1
tramadol,azithromycin,1
rosuvastatin,diclofenac,1
naproxen,amiodarone,1
morphine,clarithromycin,1
codeine,enterogermina,1
amiodarone,acetaminophen,1
azithromycin,dexketoprofen,1
rivaroxaban,edoxaban,1
amiodarone,pravastatin,1
tramadol,simvastatin,1
lorazepam,alprazolam,1
azithromycin,clonazepam,1
codeine,diclofenac,1
warfarin,paroxetine,3
clarithromycin,diclofenac,1
erythromycin,alprazolam,1
escitalopram,alprazolam,2
enterogermina,erythromycin,1
paroxetine,ibuprofen,2
probiotic,vitamin c,1
codeine,clarithromycin,1
morphine,enterogermina,1
rosuvastatin,lorazepam,1
pantoprazole,rosuvastatin,2
simvastatin,vitamin c,1
diazepam,azithromycin,1
apixaban,pantoprazole,1
ketoprofen,rivaroxaban,1
dabigatran,paroxetine,1
oxycodone,simvastatin,1
acetaminophen,vitamin d,1
sertraline,esomeprazole,1
rivaroxaban,paracetamol,1
warfarin,paroxetine,3
erythromycin,dabigatran,1
esomeprazole,b12,1
ibuprofen,paracetamol,1
probiotic,warfarin,1
acetaminophen,atorvastatin,1
fluoxetine,simvastatin,1
acetaminophen,b12,1
atorvastatin,erythromycin,3
pravastatin,omeprazole,2
amiodarone,acetaminophen,1
simvastatin,morphine,1
diazepam,simvastatin,1
amiodarone,apixaban,1
atorvastatin,apixaban,1
clarithromycin,vitamin d,1
warfarin,rosuvastatin,1
paracetamol,diclofenac,1
sertraline,paroxetine,1
esomeprazole,pravastatin,2
azithromycin,ketoprofen,1
b12,omeprazole,1
omeprazole,rosuvastatin,2
simvastatin,erythromycin,3
warfarin,dabigatran,1
probiotic,esomeprazole,1
dexketoprofen,pravastatin,1
amiodarone,paracetamol,1
simvastatin,clonazepam,1
simvastatin,folic acid,1
erythromycin,tramadol,1
omeprazole,amiodarone,1
alprazolam,omeprazole,1
amiodarone,erythromycin,3
paracetamol,clarithromycin,1
erythromycin,diazepam,1
erythromycin,amiodarone,3
diclofenac,edoxaban,1
ibuprofen,edoxaban,1
escitalopram,dabigatran,1
paroxetine,simvastatin,1
alprazolam,pravastatin,1
rivaroxaban,codeine,1
clonazepam,probiotic,1
tramadol,pantoprazole,1
pravastatin,escitalopram,1
morphine,omeprazole,1
folic acid,amiodarone,1
escitalopram,fluoxetine,1
b12,dabigatran,1
paracetamol,rosuvastatin,1
fluoxetine,erythromycin,1
pravastatin,b12,1
dabigatran,rosuvastatin,1
diazepam,vitamin c,1
enterogermina,diazepam,1
rosuvastatin,erythromycin,3
sertraline,atorvastatin,1
acetaminophen,erythromycin,1
dabigatran,b12,1
clarithromycin,dexketoprofen,1
oxycodone,tramadol,1
dexketoprofen,clonazepam,1
omeprazole,fluoxetine,1
codeine,amiodarone,1
diclofenac,acetaminophen,1
edoxaban,vitamin c,1
dabigatran,apixaban,1
pravastatin,clarithromycin,3
dabigatran,folic acid,1
tramadol,warfarin,1
paroxetine,amiodarone,3
paracetamol,vitamin c,1
ibuprofen,tramadol,1
clarithromycin,esomeprazole,1
escitalopram,paracetamol,1
omeprazole,diazepam,1
codeine,pravastatin,1
enterogermina,ibuprofen,1
diclofenac,pantoprazole,1
edoxaban,vitamin d,1
edoxaban,acetaminophen,1
edoxaban,fluoxetine,1
naproxen,tramadol,1
diclofenac,acetaminophen,1
atorvastatin,oxycodone,1
escitalopram,warfarin,3
atorvastatin,morphine,1
vitamin d,omeprazole,1
codeine,morphine,1
diclofenac,diazepam,1
ibuprofen,alprazolam,1
morphine,pantoprazole,1
acetaminophen,warfarin,1
vitamin c,azithromycin,1
morphine,codeine,1
folic acid,esomeprazole,1
pravastatin,dexketoprofen,1
vitamin d,clonazepam,1
simvastatin,paroxetine,1
dexketoprofen,oxycodone,1
pantoprazole,oxycodone,1
clonazepam,folic acid,1
paroxetine,fluoxetine,1
dabigatran,b12,1
b12,vitamin c,1
enterogermina,diclofenac,1
ibuprofen,erythromycin,1
paracetamol,pravastatin,1
vitamin d,enterogermina,1
acetaminophen,esomeprazole,1
omeprazole,azithromycin,1
escitalopram,azithromycin,1
pantoprazole,ketoprofen,1
b12,clarithromycin,1
folic acid,dexketoprofen,1
vitamin d,atorvastatin,1
clonazepam,ibuprofen,1
fluoxetine,warfarin,3
naproxen,probiotic,1
acetaminophen,esomeprazole,1
rivaroxaban,apixaban,1
erythromycin,omeprazole,1
dexketoprofen,paracetamol,1
edoxaban,rivaroxaban,1
rosuvastatin,amiodarone,1
paracetamol,dabigatran,1
atorvastatin,morphine,1
apixaban,atorvastatin,1
pravastatin,azithromycin,3
tramadol,simvastatin,1
rosuvastatin,warfarin,1
erythromycin,rosuvastatin,3
alprazolam,clarithromycin,1
lorazepam,enterogermina,1
amiodarone,pravastatin,1
rosuvastatin,atorvastatin,1
erythromycin,pantoprazole,1
enterogermina,dabigatran,1
dabigatran,b12,1
alprazolam,oxycodone,3
oxycodone,paracetamol,1
escitalopram,esomeprazole,1
fluoxetine,pantoprazole,1
ketoprofen,vitamin c,1
rivaroxaban,codeine,1
esomeprazole,paracetamol,1
sertraline,lorazepam,2
vitamin c,apixaban,1
erythromycin,apixaban,1
acetaminophen,b12,1
vitamin d,pravastatin,1
b12,erythromycin,1
clarithromycin,diclofenac,1
folic acid,vitamin c,1
edoxaban,vitamin d,1
ketoprofen,rivaroxaban,1
sertraline,ketoprofen,2
paracetamol,pravastatin,1
diclofenac,atorvastatin,1
esomeprazole,folic acid,1
azithromycin,codeine,1
rivaroxaban,codeine,1
fluoxetine,escitalopram,1
codeine,esomeprazole,1
clonazepam,azithromycin,1
warfarin,amiodarone,3
rosuvastatin,simvastatin,1
erythromycin,enterogermina,1
azithromycin,vitamin d,1
clonazepam,ibuprofen,1
sertraline,paracetamol,1
naproxen,paracetamol,1
folic acid,diclofenac,1
pravastatin,diazepam,1
folic acid,dabigatran,1
vitamin c,amiodarone,1
amiodarone,rivaroxaban,1
atorvastatin,warfarin,1
fluoxetine,erythromycin,1
oxycodone,omeprazole,1
ibuprofen,acetaminophen,1
esomeprazole,probiotic,1
codeine,vitamin c,1
paracetamol,codeine,1
pantoprazole,enterogermina,1
esomeprazole,paroxetine,1
clonazepam,lorazepam,1
tramadol,erythromycin,1
rivaroxaban,rosuvastatin,1
oxycodone,alprazolam,3
acetaminophen,edoxaban,1
simvastatin,clonazepam,1
omeprazole,codeine,1
folic acid,ketoprofen,1
codeine,warfarin,1
codeine,vitamin d,1
alprazolam,erythromycin,1
edoxaban,vitamin d,1
clonazepam,oxycodone,3
amiodarone,pravastatin,1
enterogermina,folic acid,1
alprazolam,diazepam,1
sertraline,lorazepam,2
tramadol,vitamin d,1
erythromycin,paroxetine,1
sertraline,paroxetine,1
oxycodone,rosuvastatin,1
codeine,naproxen,1
fluoxetine,atorvastatin,1
rosuvastatin,enterogermina,1
dabigatran,clarithromycin,1
diclofenac,amiodarone,1
diazepam,edoxaban,1
esomeprazole,lorazepam,1
dexketoprofen,dabigatran,1
escitalopram,naproxen,2
pravastatin,rosuvastatin,1
tramadol,amiodarone,1
diclofenac,clarithromycin,1
rivaroxaban,oxycodone,1
naproxen,enterogermina,1
esomeprazole,erythromycin,1
probiotic,warfarin,1
enterogermina,lorazepam,1
dabigatran,rosuvastatin,1
vitamin d,enterogermina,1
ibuprofen,azithromycin,1
oxycodone,paroxetine,2
diclofenac,edoxaban,1
azithromycin,fluoxetine,1
lorazepam,pantoprazole,1
tramadol,vitamin d,1
dexketoprofen,paroxetine,2
paracetamol,paroxetine,1
fluoxetine,atorvastatin,1
dabigatran,b12,1
simvastatin,paracetamol,1
clarithromycin,tramadol,1
pravastatin,tramadol,1
sertraline,probiotic,1
pravastatin,dexketoprofen,1
pravastatin,edoxaban,1
clonazepam,omeprazole,1
b12,fluoxetine,1
esomeprazole,ketoprofen,1
ketoprofen,clarithromycin,1
rosuvastatin,morphine,1
ketoprofen,escitalopram,2
paroxetine,clarithromycin,1
morphine,diazepam,3
azithromycin,dabigatran,1
erythromycin,probiotic,1
pravastatin,clarithromycin,3
rivaroxaban,sertraline,1
clarithromycin,probiotic,1
warfarin,enterogermina,1
pantoprazole,paroxetine,1
folic acid,vitamin c,1
oxycodone,edoxaban,1
fluoxetine,b12,1
dexketoprofen,pantoprazole,1
dexketoprofen,simvastatin,1
atorvastatin,paracetamol,1
naproxen,atorvastatin,1
rivaroxaban,vitamin d,1
pantoprazole,lorazepam,1
lorazepam,oxycodone,3
oxycodone,diazepam,3
erythromycin,dabigatran,1
escitalopram,oxycodone,2
omeprazole,rivaroxaban,1
vitamin c,erythromycin,1
naproxen,b12,1
ibuprofen,pravastatin,1
dexketoprofen,warfarin,3
clarithromycin,esomeprazole,1
pravastatin,rivaroxaban,1
warfarin,morphine,1
erythromycin,fluoxetine,1
paroxetine,warfarin,3
clonazepam,paroxetine,2
azithromycin,vitamin c,1
ibuprofen,atorvastatin,1
naproxen,alprazolam,1
codeine,atorvastatin,1
ketoprofen,b12,1
alprazolam,acetaminophen,1
oxycodone,clarithromycin,1
apixaban,folic acid,1
folic acid,erythromycin,1
acetaminophen,diclofenac,1
erythromycin,sertraline,1
b12,alprazolam,1
fluoxetine,omeprazole,1
probiotic,diazepam,1
edoxaban,ketoprofen,1
ketoprofen,edoxaban,1
b12,atorvastatin,1
clarithromycin,sertraline,1
edoxaban,clarithromycin,1
